pofut1	0.999952335	8.93e-06
enoph1	0.999789526	6.66e-05
polb	0.999789526	6.8e-05
tfip11	0.999789526	7.08e-05
slc32a1	0.999789526	0.000129046
cdh1	0.999447369	0.000143636
ankrd9	0.999598174	0.000227004
pip4k2aa	0.999598174	0.000234119
rtfdc1	0.999130124	0.000284141
rpl26	0.996084338	0.000382407
nudt2	0.999326791	0.000390696
crlf3	0.998535227	0.000429473
lrrc1	0.999130124	0.000435831
shq1	0.999198567	0.000455977
arl9	0.999027201	0.000470659
uqcrc1	0.998015508	0.000537612
plk1	0.997652099	0.000566939
rngtt	0.998739939	0.000577077
eya3	0.998408467	0.000587895
pcbd1	0.998408467	0.000646513
zgc:110333	0.998408467	0.000668561
cxxc1a	0.998408467	0.000674648
hoxc5a	0.998739939	0.0007368
urb1	0.998408467	0.000830845
C21H18orf32	0.989719302	0.000834736
cyp2aa11	0.998535227	0.0008537
arhgap32a	0.998408467	0.000952335
GANAB (2 of 2)	0.998408467	0.000981928
VCL (2 of 2)	0.997923222	0.001002607
arhgap5	0.997882886	0.001085515
disp1	0.998408467	0.001088747
neurod4	0.997917537	0.001092802
apoob	0.998408467	0.001093222
fam49bb	0.998408467	0.00109774
ampd3b	0.998408467	0.001099991
tgfb3	0.997923222	0.001107811
aldh1a3	0.998408467	0.00112272
rpl15	0.983492406	0.001141264
cdkn1a	0.998408467	0.001153638
adam19b	0.998408467	0.00117109
s1pr5a	0.997716378	0.001229269
pdcd11	0.996061934	0.001271701
zfpl1	0.998020156	0.001272394
isg20	0.997333637	0.001310469
kif16ba	0.998312808	0.001320217
dnal1	0.998271146	0.001322354
atrx	0.994470957	0.001342348
sez6l2	0.998253113	0.001411123
hdhd1	0.998183152	0.001447005
tbc1d10b	0.997923222	0.001476371
engase	0.998154395	0.00148254
setd5	0.997774152	0.001486131
tnpo3	0.99641931	0.001496794
she	0.997436518	0.001505375
trim24	0.997436518	0.001514265
hsd17b7	0.998136674	0.001515127
bcas3	0.997917537	0.001515465
golga5	0.996679678	0.001534582
nrd1a	0.996893287	0.001548569
garnl3	0.998092015	0.001565045
exd2	0.997917537	0.00160773
ahcyl1	0.996961703	0.001615949
prpf38a	0.996381362	0.001668236
flr	0.997436518	0.001750065
adcy2b	0.997917537	0.001776351
mgat4a	0.997917537	0.00179726
DNAH8	0.997917537	0.001801779
myh9b	0.99641931	0.001972597
ppardb	0.99641931	0.002005672
lysmd3	0.996381362	0.002066905
lgmn	0.9944512	0.002115068
taok3a	0.996989867	0.002247141
tmem63ba	0.994448094	0.002296982
LEPROTL1	0.992653315	0.002464618
lepr	0.996084338	0.002532778
man1a1	0.994470957	0.002572836
pomt1	0.996084338	0.002578752
sept5a	0.996084338	0.002603723
commd3	0.996084338	0.002630006
dldh	0.990958177	0.002643147
nkiras1	0.996287425	0.002644625
cpe	0.995569092	0.002647311
atp6ap1b	0.992859434	0.002674673
si:dkey-15h8.11	0.996381362	0.002702791
atp6v1e1a	0.996084338	0.002799571
rpl19	0.961278264	0.002827828
mapre2	0.992653315	0.002835081
hddc2	0.995569092	0.002845775
ptprnb	0.996194983	0.00286731
grhl1	0.996287425	0.002871267
ergic3	0.994201432	0.002935555
slc25a3b	0.979230594	0.003022574
eri2	0.996084338	0.003023883
atp6v0a1b	0.996084338	0.003031904
rnf40	0.991973902	0.003088512
slc1a5	0.996084338	0.003107735
g6pca.1	0.996084338	0.003122377
mak	0.994742326	0.003143595
cacna2d3	0.996084338	0.003180197
CABZ01075268.1	0.982362666	0.003199107
C12H10orf2	0.995170582	0.003201492
rpp40	0.996084338	0.003210916
oaz2a	0.996084338	0.003232205
comtd1	0.996084338	0.003247632
mylipb	0.996084338	0.003277679
scfd2	0.996084338	0.003300848
ubn2b	0.994470957	0.003307164
ipo4	0.994470957	0.003342313
erbb2	0.996084338	0.003354882
CABZ01060335.1	0.996084338	0.003355548
ube2e3	0.981149556	0.003499378
xpr1b	0.992583823	0.003509534
wfdc1	0.994470957	0.003581376
nup160	0.993148271	0.003636143
swap70b	0.993148271	0.003657726
cd164	0.983524022	0.003669692
creg2	0.994470957	0.003676313
nkx3.2	0.995569092	0.003721669
cdca8	0.989985839	0.00372466
alg10	0.995569092	0.003726397
cnot2	0.990473318	0.003772554
erp44	0.992499547	0.003802442
sox11a	0.984093177	0.003895568
GATC	0.9944512	0.003911218
GATC	0.9944512	0.003911218
mycb	0.991387406	0.003913763
fa2h	0.994448094	0.003917064
aass	0.994013199	0.003927776
prkcsh	0.988173629	0.00393208
oca2	0.994533617	0.003936193
sgk2a	0.99253763	0.00396553
nlrx1	0.993710972	0.004002434
itpa	0.994470957	0.004037063
MRPL55	0.992653315	0.004068279
cdr2l	0.994470957	0.004120121
pou4f1	0.994535462	0.004180418
mrpl20	0.992653315	0.00418919
fat2	0.993437513	0.004199291
slc6a13	0.994533617	0.004211939
pkig	0.994448094	0.004296901
mycbp	0.992653315	0.004331778
sin3ab	0.989719302	0.004340269
plcg2	0.994470957	0.004360354
col4a6	0.985445664	0.004385688
eif2a	0.987715164	0.004419489
ache	0.991973902	0.00442017
GEN1	0.992859434	0.004438184
fam92a1	0.992653315	0.004447651
e2f3	0.98502172	0.004454641
hibadhb	0.988635814	0.004458386
dync1i1	0.9944512	0.004531139
rbm42	0.992653315	0.004565112
nsfb	0.991973902	0.00461633
tada2a	0.992653315	0.004620555
unc45a	0.994448094	0.00462123
atp13a2	0.994164142	0.004662123
znf277	0.993924726	0.00475804
trub1	0.993257821	0.004806445
tcirg1b	0.989719302	0.004824698
tbce	0.99389639	0.004854356
wls	0.976117373	0.005020615
ppp1r3b	0.982362666	0.005062008
stau2	0.974504944	0.00513993
gpt2l	0.98712039	0.005192329
cux2a	0.99253763	0.005205233
