AC024175.4	0.0	0.206744204
fam46ba	0.0	2.287586623
malat1	0.0	0.566510306
txnipa	4.26e-215	1.52555493
egln3	1.78e-137	2.897940781
atp2a1	4.1e-136	0.632257878
ppp1r15a	9.34e-130	2.761872567
histh1l	4.48e-127	1.033348097
histh1l	4.48e-127	1.033348097
si:dkey-85k7.7	4.48e-127	2.12412706
mt-atp6	2.75e-126	0.794712897
mknk2b	1.03e-124	1.684949124
h1f0	5.26e-121	0.973488514
mt-nd1	2.41e-111	0.863497012
mt-nd2	2.29e-106	0.944645051
pim2	2.6e-100	2.404392748
mt-nd4	3.39e-78	0.696346362
znf395a	1e-75	1.127474087
mt-nd3	7.19e-71	1.166227073
wsb1	9.8e-65	1.496999625
p4ha1b	3.99e-62	1.18782956
g3bp1	5.76e-61	1.373189738
hsp70l	1.26e-60	3.688604661
abcf2a	1.17e-57	2.034458803
mat2aa	3.62e-57	1.440453628
cited2	1.66e-52	1.893450968
si:dkey-151g10.6	1.39e-51	0.26832673
zic2b	8.42e-51	1.352339493
ttna	1.39e-48	1.130644609
prmt1	1.97e-48	0.792883263
mt-co2	4.37e-45	0.30452967
ddx5	2.03e-42	0.93467949
mcl1b	1.31e-41	1.296163123
si:ch211-222l21.1	8.27e-41	0.297052865
KLF16	3.19e-40	1.635803678
fzd7a	6.11e-39	0.778083411
cirbpa	2.22e-38	0.416694994
trim71	5.76e-37	0.750307513
pcna	2.65e-36	0.574822728
tubb2b	5.64e-36	0.48072747
h1fx	7.1e-35	0.950452359
hnrnpaba	4.9e-34	0.397566809
he1a	6.24e-34	0.620657343
hnrnpabb	1.16e-33	0.642802508
wu:fb55g09	4.12e-33	1.199328634
khdrbs1a	1.38e-32	0.280863533
tuba8l	1.62e-32	0.70464612
tuba8l4	2.99e-32	0.504149224
pvalb2	2.5e-31	0.628936967
actc1b	2.84e-31	0.26611775
zgc:158463	6.48e-31	0.649033063
cirbpb	9.44e-31	0.245276759
etf1b	1.18e-30	0.875436788
CABZ01070258.1	2.38e-30	0.954707212
desma	2.38e-30	0.716672523
arrdc3b	1.05e-29	1.511684085
ankrd11	1.36e-29	0.91182568
si:ch211-175g6.7	1.43e-29	0.912790083
kdm5ba	5.31e-29	1.118516652
hspa8	1.66e-27	0.157190382
pvalb1	1.8e-27	0.815396154
g6pca.2	6.18e-27	1.193178454
mt-co3	8.56e-27	0.246782049
ckmb	1.16e-26	0.39112164
hnrnpub	2.03e-26	0.707755593
h3f3b.1	1.04e-25	0.511933785
znf292b	1.14e-25	1.209155975
prss59.2	5e-25	2.409219425
btg3	7.29e-25	1.349910644
eif4a1a	7.79e-25	0.535725415
ttnb	9.92e-25	1.381220093
AC024175.18	2.21e-24	1.381983363
opn1sw1	5.16e-24	2.133222446
nt5dc2	5.79e-24	0.796794255
rbbp4	8.95e-24	0.831891685
mt-cyb	2.63e-23	0.262296246
npm1a	1.15e-22	0.516845149
slc43a2b	2.76e-22	0.441582645
zgc:114130	2.77e-22	0.955460225
si:ch73-52f24.4	1.24e-21	0.677507409
try	1.09e-20	2.18186077
ddit4	1.26e-20	1.310378704
mt-nd5	1.4e-20	0.463531323
rbm12	1.6e-20	1.491955406
krt4	2.19e-20	0.095859049
ivns1abpb	5.26e-20	0.598329642
btg1	9.76e-20	0.533139376
rpl32	1.73e-19	0.241124964
seta	2.17e-19	0.403301671
hsp70.3	9.38e-19	1.936245699
nova2	1.12e-18	0.451989382
chd7	1.32e-18	0.500452784
boc	1.61e-18	0.75379008
si:dkey-42i9.4	1.91e-18	0.73968725
zeb2a	3.25e-18	0.868533765
pfn2l	4.52e-18	0.499717766
apoa1a	5.72e-18	0.190117483
abcf1	6.82e-18	0.824448038
fam60al	8.49e-18	0.820084098
ctrb1	1.1e-17	2.175828383
ctrb1	1.1e-17	2.175828383
rpl4	1.13e-17	0.18391003
clk4a	1.87e-17	1.092952355
ldha	2.31e-17	0.627626757
zfp36l1a	2.41e-17	0.98550358
hnrnpa0a	2.57e-17	0.485279372
ankrd37	2.61e-17	1.867598788
brd2a	3.18e-17	0.964875252
setb	3.68e-17	0.47659421
mt-nd6	3.9e-17	0.572554202
pprc1	4.32e-17	1.310318365
calm3b	6.8e-17	0.455833252
afp4	7.38e-17	0.249275398
pgk1	7.94e-17	0.730756936
ranbp1	7.94e-17	0.632658006
fsta	8.13e-17	0.861263045
GABARAPL1	9.21e-17	0.94519917
ccng2	1.01e-16	1.180252441
cfl1	1.24e-16	0.468416769
ciarta	2.4e-16	1.203812712
ccnd1	4.77e-16	0.350437706
bzw1b	5.62e-16	1.02850016
zfp36l1b	8.37e-16	1.068739886
dusp1	1.12e-15	0.917161394
atp5g3a	1.33e-15	0.861907737
xpo1b	2.06e-15	0.640740947
ckma	2.91e-15	0.322318097
neb	2.91e-15	0.78291567
tbx16	2.91e-15	1.488146597
